71.4875,-82.4205,-23.1325,-98.7756,32.8141,80.7348,-83.9124,-3.0392,-49.9155,85.7024,4
63.5804,-17.5974,8.2328,-50.63,49.1831,-41.1581,9.306,-82.6257,-3.4338,-93.0733,3
15.3253,42.3333,45.6206,-100.2142,62.939,-30.9714,-0.058,68.0763,5.7065,50.4639,3
-67.0086,-21.9047,-82.3974,-41.9716,74.5565,-69.937,7.6502,-0.9707,-27.4847,96.5218,11
60.5163,-12.4741,4.4018,-43.075,52.385,-40.3538,7.5112,-81.812,-6.3682,-92.5784,3
84.8666,81.1559,11.7019,56.3706,-10.455,17.7602,64.0691,-11.5293,-83.1436,54.3221,10
78.1946,55.5431,28.2918,78.166,-23.8042,42.3815,-63.1016,24.2997,-23.3761,14.7959,2
99.7409,-64.0249,-17.4138,48.6453,-14.0094,70.5881,-73.3745,-59.6058,23.1095,93.2062,5
80.0487,-11.8359,-26.4302,-86.2209,-87.6122,4.5825,89.4803,23.3069,40.8198,-99.1441,8
-82.5166,-50.1618,10.5261,-89.4602,2.358,19.4592,95.94,22.4416,22.7603,100.4611,11
-97.7781,-54.1956,88.0022,47.2265,14.4467,-39.9472,92.8633,52.4201,72.5791,-70.2922,8
-90.2879,-62.1607,83.6651,35.5119,15.1346,90.1091,55.0536,-34.1087,-56.0523,-1.9317,0
78.6367,5.7838,-48.7317,-56.4441,-20.7271,-67.3246,-9.91,67.0083,26.1646,-11.5053,3
-24.5808,-82.5958,-50.2924,-68.2099,42.7038,96.8272,-32.2973,-28.3717,-32.8398,-72.8175,5
-41.3419,8.9026,-18.7229,-32.9442,-71.5529,-58.8553,-95.379,-93.9172,40.1514,-9.7741,1
93.7514,61.7163,-83.9407,-83.2753,-32.3485,-54.104,-62.9756,67.7782,-83.6816,-69.5914,4
-58.0318,11.2701,85.608,-18.3809,31.7075,-84.0631,-57.5674,53.708,-3.9336,25.5507,8
22.8213,-56.8669,57.4755,54.5482,-97.1336,29.68,48.3985,-20.2155,-88.6252,85.9335,7
-25.0868,-82.0247,-50.0253,-68.4313,43.3016,96.4152,-31.9942,-28.516,-32.2245,-72.6712,5
-1.9271,-39.3106,-80.9719,69.7404,-50.0145,-9.64,-24.5056,73.4085,29.5273,82.5609,9
-110.9535,-54.9755,86.4136,47.2901,11.0181,-38.481,93.7685,46.5324,75.8124,-73.42,8
34.8589,62.4305,-34.3865,-92.7936,99.8005,56.7624,78.9023,43.9479,-3.3767,86.8385,1
-85.2913,89.899,-0.4968,-35.4396,-68.2923,88.4438,15.9652,58.2849,-84.618,11.0104,9
72.2832,96.3699,-47.908,-39.882,-82.3082,53.2851,78.9508,74.4442,-82.5148,31.5234,9
95.1635,-48.2282,-94.0493,67.625,12.3917,33.9038,87.3409,79.2685,-86.339,14.8961,8
-71.9944,-35.774,-44.5337,41.7281,-13.9499,-93.0152,-57.8946,-66.2991,-84.5437,-69.2771,2
-1.9657,44.7881,-7.1207,82.338,23.1425,-4.7872,43.9404,-27.4787,-96.4648,-85.044,11
